year of exhibition,age at the time,name,birthyear,birthplace city,birthplace state,work place city,work place state,work place 2,work place 2 state or country
1975,34,john schnell,1941,st. louis,missouri,new york,new york,,
1975,29,john sturgeon,1946,springfield,illinois,venice,california,,
1975,27,lan payne,1948,south bend,indiana,san francisco,california,,
1975,38,mary mcLean Obering,1937,shreveport,louisiana,new york,new york,,
1975,42,robert j. warrens,1933,sheboygan,wisconsin,baton rouge,louisiana,,
1975,32,terry fox,1943,seattle,washington,san francisco,california,,
1975,40,wanda westcoast,1935,seattle,washington dc,venice,california,,
1975,35,juan downey,1940,santiago,chile,new york,new york,,
1975,33,tony bechara,1942,san juan,puerto rico,new york,new york,,
1975,27,gregg renfrow,1948,san francisco,california,san francisco,california,,
1975,27,rudy serra,1948,san francisco,california,san francisco,california,,
1975,29,david reed,1946,san diego,california,new york,new york,,
1975,35,john wenger,1940,salem,oregon,albuquerque,new mexico,,
1975,38,kent floeter,1937,saginaw,michigan,new york,new york,,
1975,27,mary warner,1948,sacramento,california,sacramento,california,,
1975,33,paul kos,1942,rock springs,wyoming,san francisco,california,,
1975,29,dennis ashbaugh,1946,red oak,iowa,new york,new york,,
1975,38,gene beery,1937,racine,wisconsin,petaluma,california,,
1975,31,anthony ramos,1944,providence,rhode island,east providence,rhode island,,
1975,28,john scott roloff,1947,portland,oregon,lexington,kentucky,,
1975,34,salvatore j. la rosa,1941,pittsburgh,pennsylvania,miami,florida,,
1975,28,jerry jones,1947,pineville,kentucky,new york,new york,,
1975,27,barbara schwartz,1948,philadelphia,pennsylvania,new york,new york,,
1975,30,elyn zimmerman,1945,philadelphia,pennsylvania,berkeley,california,,
1975,26,john dickson,1949,philadelphia,pennsylvania,washington dc,washington dc,,
1975,34,"john E. Dowell, Jr.",1941,philadelphia,pennsylvania,philadelphia,pennsylvania,,
1975,30,ken tisa,1945,philadelphia,pennsylvania,new york,new york,,
1975,54,thomas chimes,1921,philadelphia,pennsylvania,merion,pennsylvania,,
1975,29,barry buxkamper,1946,peoria,illinois,nashville,tennessee,,
1975,32,john arvanites,1943,pasadena,california,new york,new york,,
1975,26,robert kushner,1949,pasadena,california,new york,new york,,
1975,33,george green,1942,paris,texas,dallas,texas,,
1975,29,kim robert macConnel,1946,oklahoma city,oklahoma,cardiff,california,,
1975,37,earl staley,1938,oak park,illinois,houston,texas,,
1975,38,joseph clower,1937,norfolk,virginia,boulder,colorado,,
1975,32,paul dillon,1943,newport,vermont,los Angeles,california,,
1975,33,tom green,1942,newark,new jersey,washington dc,washington dc,,
1975,30,abigail gerd,1945,new york,new york,new york,new york,,
1975,28,andy mann,1947,new york,new york,new york,new york,,
1975,30,beryl korot,1945,new york,new york,new york,new york,,
1975,35,billy adler,1940,new york,new york,los Angeles,california,,
1975,30,charles simonds,1945,new york,new york,new york,new york,,
1975,30,christopher darton,1945,new york,new york,new york,new york,,
1975,25,edwin rothfarb,1950,new york,new york,boston,massachusetts,,
1975,30,gene sturman,1945,new york,new york,venice,california,,
1975,35,hermine freed,1940,new york,new york,new york,new york,,
1975,28,james perry,1947,new york,new york,new york,new york,,
1975,44,joe di giorgio,1931,new york,new york,new york,new york,,
1975,35,john nargolies,1940,new york,new york,new york,new york,,
1975,28,marilyn lenkowsky,1947,new york,new york,new york,new york,,
1975,26,ross bleckner,1949,new york,new york,new york,new york,,
1975,28,scott miller,1947,new york,new york,boston,massachusetts,,
1975,31,sibyl l weil,1944,new york,new york,new york,new york,,
1975,42,tomaso puliafito,1933,new york,new york,new york,new york,,
1975,34,carole fisher,1941,minneapolis,minnesota,minneapolis,minnesota,,
1975,29,john s. gordon,1946,milwaukee,wisconsin,venice,california,,
1975,34,robert thiele,1941,milwaukee,wisconsin,miami beach,florida,,
1975,34,patricia lay,1941,milford,connecticut,new york,new york,,
1975,29,elizabeth ann knox,1946,miami,florida,new york,new york,,
1975,33,thomas m. uttech,1942,merrill,wisconsin,milwaukee,wisconsin,,
1975,30,richard thompson,1945,mcMinnville,oregon,albuquerque,new mexico,,
1975,25,paula nees,1950,madison,wisconsin,middleton,wisconsin,,
1975,26,andrew wilf,1949,lynwood,california,lynwood,california,,
1975,34,alan uglow,1941,luton,england,new york,new york,,
1975,27,rob roy norton jr.,1948,louisville,kentucky,new york,new york,,
1975,26,alexis smith,1949,los angeles,california,venice,california,,
1975,31,allan mcCollum,1944,los angeles,california,venice,california,,
1975,37,barbara quinn roth,1938,los angeles,california,altadena,california,,
1975,29,david anderson,1946,los angeles,california,berkeley,california,,
1975,33,david mackenzie,1942,los angeles,california,san francisco,california,,
1975,35,fred N. Guyot,1940,los angeles,california,new york,new york,,
1975,31,gary beydler,1944,los angeles,california,Los Angeles,california,,
1975,32,george rodart,1943,los angeles,california,venice,california,,
1975,25,ilene segalove,1950,los angeles,california,los Angeles,california,,
1975,28,phil douglas davis,1947,los angeles,california,venice,california,,
1975,29,judy pfaff,1946,london,england,columbus,ohio,,
1975,54,roland ginzel,1921,lincoln,illinois,chicago,illinois,,
1975,54,jack jefferson,1921,lead,south dakota,san francisco,california,,
1975,28,philip renteria,1947,laredo,texas,houston,texas,,
1975,34,frank gillette,1941,jersey city,new jersey,new york,new york,,
1975,28,jan lee mcComas,1947,huntington,west virginia,dallas,texas,,
1975,37,donald roller wilson,1938,houston,texas,fayetteville,arkansas,,
1975,38,maxine cole,1937,hodgeman city,kansas,arcadia,california,,
1975,36,scott burton,1939,greensboro,alabama,new york,new york,,
1975,39,bill richards,1936,grantsville,west virginia,philadelphia,pennsylvania,,
1975,40,james R. Anderson,1935,gary,indiana,new york,new york,,
1975,34,allen edward bertoldi,1941,fresno,california,fresno,california,,
1975,33,rudolph montanez,1942,fresno,california,fresno,california,,
1975,28,pamela jenrette,1947,fort bragg,north carolina,new york,new york,,
1975,24,bill viola,1951,flushing,new york,florence,italy,,
1975,34,kaare rafoss,1941,flekkefjord,norway,new york,new york,,
1975,29,cristiano camacho,1946,fall river,massachusetts,san francisco,california,,
1975,36,larry ray camp,1939,evansville,indiana,columbus,ohio,,
1975,37,connie zehr,1938,evanston,illinois,chatsworth,california,,
1975,46,mel casas,1929,el paso,texas,san antonio,texas,,
1975,52,charles garabedian,1923,detroit,michigan,santa monica,california,,
1975,29,dominick guida,1946,corona,new york,altadena,california,,
1975,44,alvin light,1931,concord,new hampshire,san francisco,california,,
1975,33,william fares,1942,compton,california,new york,new york,,
1975,27,david jones,1948,columbus,ohio,san francisco,california,,
1975,29,george bolling,1946,columbus,ohio,san jose,california,,
1975,49,edward ross,1926,clinton,south carolina,roswell,georgia,,
1975,36,frank rivera,1939,cleveland,ohio,new brunswick,new jersey,,
1975,27,robin bruch,1948,cleveland,ohio,new york,new york,,
1975,25,jim byrne,1950,chicago city,minnesota,minneapolis,minnesota,,
1975,35,barbara rossi,1940,chicago,illinois,chicago,illinois,,
1975,25,carol eckman,1950,chicago,illinois,san francisco,california,,
1975,33,cherie raciti,1942,chicago,illinois,san francisco,california,,
1975,30,kathleen ferguson,1945,chicago,illinois,new york,new york,,
1975,40,richard george,1935,chicago,illinois,hamilton,ohio,,
1975,46,roland reiss,1929,chicago,illinois,venice,california,,
1975,45,ron gorchov,1930,chicago,illinois,new york,new york,,
1975,35,samuel scott,1940,chicago,illinois,santa fe,new mexico,,
1975,34,sarah anne canright,1941,chicago,illinois,new york,new york,,
1975,28,stuart nielson,1947,chicago,illinois,minneapolis,minnesota,,
1975,31,charles f. gaines,1944,charleston,south carolina,new york,new york,,
1975,37,edward r. whiteman,1938,buffalo,new york,new orleans,louisiana,,
1975,32,judith suzanne miller,1943,bucyrus,ohio,los Angeles,california,,
1975,28,andrew spence,1947,bryn mawr,pennsylvania,los Angeles,california,,
1975,33,barbara strasen,1942,brooklyn,new york,san diego,california,,
1975,29,judy rifka,1946,brooklyn,new york,new york,new york,,
1975,32,alan turner,1943,bronx,new york,new york,new york,,
1975,29,joel glassman,1946,bronx,new york,san francisco,california,,
1975,31,allen ruppersberg,1944,brecksville,ohio,new york,new york,,
1975,25,hass murphy,1950,boston,massachusetts,new york,new york,,
1975,33,susanna tanger,1942,boston,massachusetts,new york,new york,,
1975,31,todd mckie,1944,boston,massachusetts,cambridge,massachusetts,,
1975,33,william e. mahan,1942,boston,massachusetts,venice,california,,
1975,32,sam cady,1943,boothbay harbor,maine,new york,new york,,
1975,37,carol lindsley,1938,berkeley,california,kensington,california,,
1975,37,cheryle bowers,1938,berkeley,california,berkeley,california,,
1975,45,martha alf,1930,berkeley,california,Los Angeles,california,,
1975,57,miyoko ito,1918,berkeley,california,chicago,illinois,,
1975,25,w.b. bearman,1950,benicia,california,new york,new york,,
1975,33,carolynn umlauf,1942,austin,texas,new york,new york,,
1975,30,virginia johnson,1945,andover,massachusetts,boulder,colorado,,
1975,33,philip mullen,1942,akron,ohio,columbia,south carolina,,
1977,39,nancy holt,1938,worcester,massachusetts,new york,new york,,
1977,34,robert cumming,1943,worcester,massachusetts,orange,california,,
1977,34,alan sondheim,1943,wilkes-barre,pennsylvania,new york,new york,,
1977,34,terry allen,1943,whichita,kansas,fresno,california,,
1977,32,james hill,1945,sherman,texas,Houston,texas,,
1977,45,nam june paik,1932,seoul,korea,new york,new york,,
1977,34,terry fox,1943,seattle,washington,san francisco,california,,
1977,39,joan brown,1938,san francisco,california,san francisco,california,,
1977,38,richard serra,1939,san francisco,california,new york,new york,,
1977,38,richard serra,1939,san francisco,california,new york,new york,,
1977,38,vija celmins,1939,riga,latvia,venice,california,,
1977,36,richard tuttle,1941,rahway,new  jersey,new york,new york,,
1977,45,Dorothea Rockburne,1932,montreal,canada,New York,New York,,
1977,39,jim nutt,1938,pittsfield,massachusetts,wilmette,illinois,,
1977,37,mel bochner,1940,pittsburgh,pennsylvania,new york,new york,,
1977,41,ree morton,1936,ossining,new york,new york,new york,,
1977,32,lewis baltz,1945,newport beach,california,saulsalito,california,,
1977,36,jackie winsor,1941,newfoundland,canada,new york,new york,,
1977,39,pat steir,1938,newark,new jersey,new york,new york,,
1977,33,alan daniel saret,1944,new york,new york,new york,new york,,
1977,30,andy mann,1947,new york,new york,new york,new york,,
1977,32,charles simonds,1945,new york,new york,new york,new york,,
1977,41,joan jonas,1936,new york,new york,new york,new york,,
1977,36,joel shapiro,1941,new york,new york,new york,new york,,
1977,40,peter campus,1937,new york,new york,new york,new york,,
1977,32,willie walker,1945,new jersey,new jersey,oakland,california,,
1977,46,john baldessari,1931,national city,california,santa monica,california,,
1977,47,robert ryman,1930,nashville,tennesee,new york,new york,,
1977,37,chuck close,1940,monroe,washington,new york,new york,,
1977,45,duan michals,1932,mckeesport,pennsylvania,new york ,new york,,
1977,39,dennis oppenheim,1938,mason city,washington,new york,new york,,
1977,35,david true,1942,marietta,ohio,new york,new york,,
1977,36,keith sonnier,1941,mamou,louisiana,new york,new york,,
1977,65,agnes martin,1912,"maklin, saskatchewan",canada,cuba,new mexico,,
1977,55,h.c. wastermann,1922,los angeles,california,brookfield center,connecticut,,
1977,27,ilene segalove,1950,los angeles,california,santa monica,california,,
1977,36,barry le va,1941,long beach,california,new york,new york,,
1977,36,jennifer bartlett,1941,long beach,california,new york,new york,,
1977,36,lynda benglis,1941,lake charles,louisiana,new york,new york,,
1977,41,richard estes,1936,keewanee,illinois,new york,new york,,
1977,29,nicholas africano,1948,kankakee,illinois,normal ,illionis,,
1977,34,william wegman,1943,holyoke,massachusetts,new york,new york,,
1977,74,alfred j. jensen,1903,guatemala city,guatemala,glen ridge,new jersey,,
1977,32,stephen a. davis,1945,fort worth,texas,san francisco,california,,
1977,36,bruce nauman,1941,fort wayne,indiana,pasadena,california,,
1977,36,bruce nauman,1941,fort wayne,indiana,pasadena,california,,
1977,31,howard fried,1946,cleveland,ohio,san francisco,california,,
1977,37,elizabeth murray,1940,chicago,illinois,new york,new york,,
1977,36,joe zucker,1941,chicago,illinois,new york,new york,,
1977,47,ron gorchov,1930,chicago,illinois,new york,new york,,
1977,39,brice marden,1938,bronxville,new york,new york,new york,,
1977,37,vito acconci,1940,bronx,new york,new york,new york,,
1977,40,woody vasulka,1937,brno,czechoslovakia,buffalo,new york,,
1977,31,brian connell,1946,boston,massachusetts,san diego,california,,
1977,31,chris burden,1946,boston,massachusetts,venice,california,,
1977,52,duan hanson,1925,alexandria,minnisota,davie,florida,,
1979,47,ralph humphrey,1932,youngstown, ohio,new york,new york,,
1979,41,nancy holt,1938,worcester,massachusetts,new york,new york,,
1979,43,hollis frampton,1936,wooster,ohio,eaton,new york,,
1979,36,alan sondheim,1943,wilkes-barre,pennsylvania,irvine,california,,
1979,36,james suris,1943,terrell,texas,splendora,texas,,
1979,32,bryan hunt,1947,terre haute,indiana,new york,new york,,
1979,37,donna dennis,1942,springfield,ohio,new york,new york,,
1979,36,christopher wilmarth,1943,sonoma,california,new york ,new york,,
1979,37,joyce kozloff,1942,somerville,new jersey,new york,new york,,
1979,40,richard serra,1939,san francisco,california,new york,new york,,
1979,49,robert nelson,1930,san francisco,california,milwaukee,wisconsin,,
1979,30,deborah butterfield,1949,san diego,california,belgrade,montana,,
1979,45,gregory gillespie,1934,roselle park,new jersey,amherst,massachusetts,,
1979,47,Dorothea Rockburne,1932,montreal,canada,New York,New York,,
1979,35,george trakas,1944,quebec,canada,new york,new york,,
1979,35,anthony ramos,1944,providence,rhode island,new york,new york,,
1979,34,stuart sherman,1945,providence,rhode island,new york,new york,,
1979,39,mel bochner,1940,pittsburgh,pennsylvania,new york,new york,,
1979,55,philip pearlstein,1924,pittsburgh,pennsylvania,new york,new york,,
1979,31,barbara schwartz,1948,philadelphia,pennsylvania,new york,new york,,
1979,31,lois lane,1948,philadelphia,pennsylvania,new york,new york,,
1979,33,kim macConnel,1946,oklahoma city,oklahoma,escondido,california,,
1979,42,robert mangold,1937,north tonawanda,new york,washingtonville,new york,,
1979,38,jackie winsor,1941,newfoundland,canada,new york,new york,,
1979,56,ellsworth kelly,1923,newburgh,new york,chatham,new york,,
1979,24,jane brettschneider,1955,new york,new york,new york,new york,,
1979,43,joan jonas,1936,new york,new york,new york,new york,,
1979,37,jody pinto,1942,new york,new york,philadelphia,pennsylvania,,
1979,38,joel shapiro,1941,new york,new york,new york,new york,,
1979,38,judith murray,1941,new york,new york,new york,new york,,
1979,43,larry gottheim,1936,new york,new york,binghamton,new york,,
1979,42,richard foreman,1937,new york,new york,new york,new york,,
1979,44,robert moskowitz,1935,new york,new york,new york,new york,,
1979,56,roy lichtenstein,1923,new york,new york,southampton,new york,,
1979,28,william viola,1951,new york,new york,new york,new york,,
1979,48,john baldessari,1931,national city,california,santa monica,california,,
1979,33,dennis evans,1946,moxee,washington,seattle,washington,,
1979,66,philip guston,1913,montreal,canada,woodstock,new york,,
1979,39,chuck close,1940,monroe,washington,new york,new york,,
1979,36,james benning,1943,milwaukee,wisconsin,del mar,california,,
1979,36,edda renouf,1943,mexico city,mexico,new york,new york,,
1979,27,manuel de landa,1952,mexico city,mexico,new york,new york,,
1979,41,robert graham,1938,mexico city,mexico,venice,california,,
1979,30,christa maiwald,1949,media,pennsylvania,new york,new york,,
1979,46,bruce conner,1933,mcPherson,kansas,san francisco,california,,
1979,43,frank stella,1936,malden,massachusetts,new york,new york,,
1979,30,alexis smith,1949,los angeles,california,venice,california,,
1979,47,craig kauffman,1932,los angeles,california,los angeles,california,,
1979,37,h.c. wastermann,1942,los angeles,california,brookfield center,connecticut,,
1979,44,kenneth price,1935,los angeles,california,taos,new mexico,,
1979,32,patrick hogan,1947,los angeles,california,venice,california,,
1979,25,john sanborn,1954,long island,new york,new york,new york,,
1979,38,jennifer bartlett,1941,long beach,california,new york,new york,,
1979,46,mary frank,1933,london,england,new york,new york,,
1979,57,jonas mekas,1922,lithuania,lithuania,new york,new york,,
1979,43,lucas samaras,1936,kastoria macedonia,greece,new york,new york,,
1979,46,stan brakhage,1933,kansas city,missouri,rollinsville,colorado,,
1979,36,david haxton,1943,indianapolis,indiana,new york,new york,,
1979,51,sol leWitt,1928,hartford,connecticut,new york,new york,,
1979,33,alice aycock,1946,harrisburg,pennsylvania,new york,new york,,
1979,32,rita myers,1947,hammonton,new jersey,new york,new york,,
1979,38,roger brown,1941,hamilton,alabama,chicago,illinois,,
1979,33,william beckley,1946,hamburg,pennsylvania,new york,new york,,
1979,33,christina ramberg,1946,fort campbell,kentucky,chicago,illinois,,
1979,45,billy al bengston,1934,dodge city,kansas,venice,california,,
1979,36,brenda goodman,1943,detroit,michigan,new york,new york,,
1979,50,jackie ferrara,1929,detroit,michigan,new york,new york,,
1979,53,robert breer,1926,detroit,michigan,palisades,new york,,
1979,36,paul sharits,1943,denver,colorado,buffalo,new york,,
1979,32,martha haslanger,1947,dearborn,michigan,new york,new york,,
1979,33,howard fried,1946,cleveland,ohio,san francisco,california,,
1979,29,barbara buckner,1950,chicago,illinois,new york,new york,,
1979,39,elizabeth murray,1940,chicago,illinois,new york,new york,,
1979,38,joe zucker,1941,chicago,illinois,new york,new york,,
1979,76,walter gutman,1903,chicago,illinois,new york,new york,,
1979,34,susan rothenberg,1945,buffalo,new york,new york,new york,,
1979,52,alex katz,1927,brooklyn,new york,new york,new york,,
1979,36,martha rosler,1943,brooklyn,new york,san francisco,california,,
1979,34,michael singer,1945,brooklyn,new york,wilmington,vermont,,
1979,29,rodney ripps,1950,brooklyn,new york,new york,new york,,
1979,32,warren sonbert,1947,brooklyn,new york,san francisco,california,,
1979,41,brice marden,1938,bronxville,new york,new york,new york,,
1979,37,jonathan borofsky,1942,boston,massachusetts,venice,california,,
1979,49,robert arneson,1930,benicia,california,benicia,california,,
1979,28,donald sultan,1951,asheville,north carolina,new york,new york,,
1979,48,bruce baillie,1931,aberdeen,south dakota,elizaville,new york,,
1979,26,kit fitzgerald,1953,,massachusetts,new york,new york,,
1981,57,robert frank,1924,zurich,switzerland,nova scotia,canada,,
1981,43,nancy holt,1938,worcester,massachusetts,new york,new york,,
1981,38,robert comming,1943,worcester,massachusets,west suffield,connecticut,,
1981,45,hollis frampton,1936,wooster,ohio,eaton,new york,,
1981,38,ernie gehr,1943,wisconsin,wisconsin,new york,new york,,
1981,42,davidson gigliotti,1939,winchester,massachusetts,new york,new york,,
1981,40,martin puryeur,1941,washington dc,washington dc,chicago,illinois,,
1981,30,russ warren,1951,washington dc,Washington dc,davidson,north carolina,,
1981,40,robert wilson,1941,waco,texas,new york,new york,,
1981,38,larry clark,1943,tulsa,oklahoma,new york,new york,,
1981,38,neil jenney,1943,torrington,connecticut,new york,new york,,
1981,39,william larson,1942,tonawanda,new york,wyncote,pennsylvania,,
1981,44,taka limura,1937,tokyo,japan,new ork,new york,,
1981,34,bryan hunt,1947,terre haute,indiana,new york,new york,,
1981,42,siah armajani,1939,teheran,iran,minneapolis,minnisota,,
1981,37,grant mudford,1944,sydney,australia,los angeles,california,,
1981,39,richard francisco,1942,st. helena,california,new york,new york,,
1981,33,gregory amenoff,1948,st. charles,illinois,new york,new york,,
1981,28,kit fitzgerald,1953,springfield,massachusets,new york,new york,,
1981,49,nam june paik,1932,seoul,korea,new york,new york,,
1981,32,john divola,1949,santa monica,california,venice,california,,
1981,51,kenneth anger,1930,santa monica,california,new york,new york,,
1981,38,andrew noren,1943,santa fe,new mexico,new york,new york,,
1981,48,rafael ferrer,1933,san juan,puerto rico,philadelphia,pennsylvania,,
1981,50,chick strand,1931,san francisco,california,tujunga,california,,
1981,42,richard serra,1939,san francisco,california,new york,new york,,
1981,47,yvonne rainer,1934,san francisco,california,new york,new york,,
1981,77,willem de kooning,1904,rotterdam,netherlands,long island,new york,,
1981,36,stuart sherman,1945,providence,rhode island,new york,new york,,
1981,59,richard diebenkorn,1922,portland,oregon,santa monica,california,,
1981,38,jan groover,1943,Plainfield,new jersey,new york,new york,,
1981,42,barry gerson,1939,philadelphia,pennsylvania,new york,new york,,
1981,33,bruce robbins,1948,philadelphia,pennsylvania,new york,new york,,
1981,33,judith shea,1948,philadelphia,pennsylvania,new york,new york,,
1981,48,william anastasi,1933,philadelphia,pennsylvania,new york,new york,,
1981,32,robert kushner,1949,pasadena,california,new york,new york,,
1981,30,louisa chase,1951,panama city, panama,new york,new york,,
1981,44,robert adams,1937,orange,new jersey,longmont,colorado,,
1981,35,kim macConnel,1946,oklahoma city,oklahoma,encinitas,california,,
1981,58,ellsworth kelly,1923,newburgh,new york,chatham,new york,,
1981,53,al held,1928,new york,new york,boiceville, new york,,
1981,36,benno friedman,1945,new york,new york,new york,new york,,
1981,38,joan thorne,1943,new york,new york,new york,new york,,
1981,43,joel meyerowitz,1938,new york,new york,new york,new york,,
1981,40,joel shapiro,1941,new york,new york,new york,new york,,
1981,30,julian schnabel,1951,new york,new york,new york,new york,,
1981,48,ken jacobs,1933,new york,new york,new york,new york,,
1981,45,Larry Gottheim,1936,new york,new york,binghamton,new york,,
1981,40,mary miss,1941,new york,new york,new york,new york,,
1981,31,owen morrel,1950,new york,new york,new york,new york,,
1981,36,peter d'Agostino,1945,new york,new york,new york,new york,,
1981,37,richard fleischner,1944,new york,new york,providence,rhode island,,
1981,35,robert mapplethorpe,1946,new york,new york,new york,new york,,
1981,46,robert moskowitz,1935,new york,new york,new york,new york,,
1981,32,shalom gorewitz,1949,new york,new york,new york,new york,,
1981,37,george landow,1944,new haven,connecticut,chicago,illinois,,
1981,36,bill jensen,1945,minneapolis,minnesota,new york,new york,,
1981,34,arthur ollman,1947,milwaukee,wisconsin,oakland, california,,
1981,39,james benning,1942,milwaukee,wisconsin,new york,new york,,
1981,36,richard thompson,1945,McMinnville,oregon,albuquerque,new mexico,,
1981,49,duane michals,1932,mcKeesport,pennsylvania,new york,new york,,
1981,43,dennis oppenheim,1938,mason city,washington,new york,new york,,
1981,32,alexis smith,1949,los angeles,california,venice,california,,
1981,26,jedd garet,1955,los angeles,california,new york,new york,,
1981,46,kenneth price,1935,los angeles,california,taos,new mexico,,
1981,41,leland rice,1940,los angeles,california,los angeles,california,,
1981,35,peter lodato,1946,los angeles,california,los angeles,california,,
1981,32,richard misrach,1949,los angeles,california,berkeley,california,,
1981,34,sally shapiro,1947,los angeles,california,new york,new york,,
1981,40,jennifer bartlett,1941,long beach,california,new york,new york,,
1981,35,judy pfaff,1946,london,england,new york,new york,,
1981,32,steve keister,1949,lancaster,pennsylvania,new york,new york,,
1981,40,lynda benglis,1941,lake charles,louisiana,new york,new york,,
1981,42,rackstraw downes,1939,kent,england,new york,new york,,
1981,48,stan brakhage,1933,kansas city,missouri,rollinssville,colorado,,
1981,35,robert snyder,1946,kalamazoo,michigan,chicago,illinois,,
1981,49,buky schwartz,1932,jerusalem,isreal,new york,new york,,
1981,40,frank gillete,1941,jersey city,new jersey,new york,new york,,
1981,38,david haxton,1943,indianapolis,indiana,new york,new york,,
1981,39,william wegman,1942,holyoke,massachusetts,new york,new york,,
1981,40,richard shaw,1941,hollywood,california,fairfax,california,,
1981,35,alice aycock,1946,harrisburg,pennsylvania,new york,new york,,
1981,42,scott burton,1939,greensboro,alabama,new york,new york,,
1981,33,hollis sigler,1948,gary,indiana,chicago,illinois,,
1981,46,christo,1935,gabrovo,bulgaria,new york,new york,,
1981,38,vernon fisher,1943,fort worth,texas,denton ,texas,,
1981,42,robert fichter,1939,fort meyers,florida,tallahassee,florida,,
1981,30,william viola,1951,flushing,new york,new york,new york,,
1981,35,michael brewster,1946,eugene,oregon,venice,california,,
1981,46,robert zakanitch,1935,elizabeth,new jersey,new york,new york,,
1981,69,harry callahan,1912,detroit,michigan,providence,rhode island,,
1981,55,robert breer,1926,detroit,michigan,south nyack,new york,,
1981,38,paul sharits,1943,denver,colorado,buffalo,new york,,
1981,34,martha haslanger,1947,dearborn,michigan,new york,new york,,
1981,35,charlse arnoldi,1946,dayton,ohio,venice,california,,
1981,51,william bailey,1930,council bluffs,iowa,new haven,connecticut,,
1981,27,john sanborn,1954,copiague,new york,new york,new york,,
1981,35,howard fried,1946,cleveland,ohio,san francisco,california,,
1981,41,jo ann callis,1940,cincinnati,ohio,culver city,california,,
1981,31,barbara buckner,1950,chicago,illinois,new york,new york,,
1981,42,ed paschke,1939,chicago,illinois,chicago,illinois,,
1981,41,elizabeth murray,1940,chicago,illinois,new york,new york,,
1981,40,katherine porter,1941,cedar rapids,iowa,lincolnville,maine,,
1981,41,vito acconci,1940,bronx,new york,new york,new york,,
1981,31,bette grodon,1950,boston,massachusetts,new york,new york,,
1981,39,jonathan borofsky,1942,boston,massachusets,venice,california,,
1981,35,sandy skoglund,1946,boston,massachusetts,new york,new york,,
1981,31,victor schrager,1950,bethesda,maryland,new york,new york,,
1981,43,benni efrat,1938,beirut,lebanon,new york,new york,,
1981,56,Duane Hanson ,1925,alexandria,minnesota,davie,florida,,
1983,40,ernie gehr,1943,wisconsin,wisconsin,new york,new york,,
1983,32,phillip maberry,1951,stamford,texas,garrison,new york,,
1983,48,oliver jackson,1935,st louis,missouri,oakland,california,,
1983,51,nam june paik,1932,seoul,korea,new york,new york,,
1983,43,juan downey,1940,santiago,chile,new york,new york,,
1983,34,mark tansey,1949,san jose,california,new york,new york,,
1983,39,doug hall,1944,san francisco,california,san francisco,california,,
1983,38,stuart sherman,1945,providence,rhode island,new york,new york,,
1983,43,nancy graves,1940,pittsfield,massachusetts,new york,new york,,
1983,28,daniel walworth,1955,pittsburgh,pennsylvania,new york,new york,,
1983,31,ken feingold,1952,pittsburgh,pennsylvania,minneapolis,minnisota,,
1983,44,barry gerson,1939,philadelphia,pennsylvania,new york,new york,,
1983,72,louise bourgeois,1911,paris,france,new york,new york,,
1983,58,robert colescott,1925,oakland,california,oakland,california,,
1983,36,robert mangold,1947,north tonawanda,new york,washingtonville,new york,,
1983,31,david salle,1952,norman,oaklahoma,new york,new york,,
1983,42,jackie winsor,1941,newfoundland,canada,new york,new york,,
1983,38,barbara kruger,1945,newark,new jersey,new york,new york,,
1983,45,pat steir,1938,newark,new jersey,new york,new york,,
1983,32,bill viola,1951,new york,new york,long beach,california,,
1983,35,eileen cowin,1948,new york,new york,venice,california,,
1983,35,eric fischl,1948,new york,new york,new york,new york,,
1983,38,judy rifka,1945,new york,new york,new york,new york,,
1983,32,julian schnabel,1951,new york,new york,new york,new york,,
1983,29,mathew geller,1954,new york,new york,new york,new york,,
1983,36,r.m. fischer,1947,new york,new york,new york,new york,,
1983,34,shalom gorewitz,1949,new york,new york,new york,new york,,
1983,56,stan vanDerBeek,1927,new york,new york,baltimore,maryland,,
1983,36,warren sonbert,1947,new york,new york,san francisco,california,,
1983,52,john baldessari,1931,national city,california,santa monica,california,,
1983,41,james benning,1942,milwaukee,wisconsin,new york,new york,,
1983,46,shigeko kubota,1937,miigata,japan,new york,new york,,
1983,50,bruce conner,1933,mcPherson,kansas,san francisco,california,,
1983,47,frank stella,1936,malden,massachusetts,new york,new york,,
1983,40,george rodart,1943,los angeles,california,venice,california,,
1983,63,john coplans,1920,london,england,new york,new york,,
1983,51,italo scanga,1932,lago,italy,la jolla,california,,
1983,25,keith haring,1958,kutztown,pennsylvania,new york,new york,,
1983,37,bob snyder,1946,kalamazoo,michigan,chicago,illinois,,
1983,40,david haxton,1943,indianapolis,indiana,new york,new york,,
1983,32,melissa miller,1951,houston,texas,austin,texas,,
1983,32,ericka beckman,1951,hempstead,new york,new york,ne wyork,,
1983,31,kenneth shorr,1952,goodyear,arizona,chicago,illinois,,
1983,29,cindy sherman,1954,glen ridge,new jersey,new york,new york,,
1983,32,sandy moore,1951,gastonia,north carolina,new york,new york,,
1983,33,jenny holzer,1950,gallipolis,ohio,new york,new york,,
1983,30,mike glier,1953,fort thomas,kentucky,new york,new york,,
1983,36,lance kiland,1947,fargo,north dakota,minneapolis,minnesota,,
1983,33,vivienne dick,1950,donegal,ireland,new york,new york,,
1983,57,robert breer,1926,detroit,michigan,south nyack,new york,,
